GVKEY,CNAME,AT,SALE,MKTCAP,TOBINSQ,ROA,RNDRATIO,CASHRATIO,LEVERAGE,DIVPAY,EMP,SIC,STATE
1177,AETNA INC,53402.1,58003.2,31072.734,1.29441977,0.038215726,0,0.072869794,0.160692183,0.006113992,48.8,6324,CT
1209,AIR PRODUCTS & CHEMICALS INC,17779.1,10439,27798.50702,2.093261584,0.055520246,0.007953158,0.018932342,0.34414003,0.036098565,21.2,2810,PA
1210,AIR T INC,43.456,112.181,58.3758,1.648122239,0.057161267,0,0.447418078,0.11505891,0,0.6,4513,NC
1224,ALABAMA GAS CORP,1424.6,417.2,,,0.023164397,0,0.003930928,0.186578689,0.026252983,0.949,4924,AL
1225,ALABAMA POWER CO,20552,5942,,,0.038925652,0,0.013283379,0.322596341,0.028659011,6.935,4911,AL
1228,ALANCO TECHNOLOGIES INC,6.765,0.649,2.357425,0.627852919,-0.015668884,0,0.262379897,0,0,0,4950,AZ
1230,ALASKA AIR GROUP INC,6181,5368,7857.30456,1.805744145,0.097880602,0,0.196893707,0.129914253,0.011001456,13.952,4512,WA
1234,ATRION CORP,171.514,140.762,650.43913,3.855394487,0.162132537,0.030819642,0.139108178,0,0.031857458,0.483,3841,TX
1254,MATSON INC,1401.8,1714.2,1491.264,1.584294479,0.050506492,0,0.209302326,0.266514481,0.020473677,1.056,4400,HI
1257,ALEXANDER'S INC,1423.216,200.814,2232.24108,2.323651561,0.047354723,0,0.237079263,0.725666378,0.046680195,0.068,6798,NJ
1266,ALICO INC,203.567,88.68,280.4541,1.635064131,0.03954472,0,0.152490335,0.172410066,0.008650715,0.128,0100,FL
1274,ALLEGHANY CORP,23489.436,5213.809,7441.029,0.998620699,0.028916786,0,0.081258315,0.075230627,0,2.067,6331,NY
1300,HONEYWELL INTERNATIONAL INC,45451,40306,78157.424,2.32592075,0.093265275,0.041627247,0.153109943,0.191040901,0.032518536,127,9997,NJ
1327,SKYWORKS SOLUTIONS INC,2973.8,2291.5,10983.06,3.841704217,0.153910821,0.084807317,0.27096644,0,0.014022463,5.55,3674,MA
1380,HESS CORP,38578,10737,21100.3397,0.919289224,0.043859194,0,0.06335217,0.155192078,0.007854217,3.045,1311,NY
1388,AMERICAN AIRLINES INC,26292,27141,,,0.049825042,0,0.17971246,0.42727826,0,61.6,4512,TX
1393,AMERCO,6872.175,3074.531,6478.4832,1.591854136,0.051910931,0,0.076634253,0.318802854,0.002851208,25.4,7510,NV
1397,AMERICAN BILTRITE INC,122.04,205.585,13.6,0.846615864,0.024369059,0,0.022484431,0.098303835,0,0,2670,MA
1410,ABM INDUSTRIES INC,2192.9,5032.8,1539.29924,1.252678754,0.034474896,0,0.016735829,0.145834283,0.015778193,118,7340,NY
1414,PRIMERICA INC,10738.114,1340.03,2830.68994,1.135974617,0.016747261,0,0.026969447,0.05536652,0.002468962,2.579,6311,GA
1439,US ECOLOGY INC,919.855,447.411,867.83572,1.554992602,0.041567421,0,0.024972414,0.429038272,0.01688527,1.8,4955,ID
1440,AMERICAN ELECTRIC POWER CO,59633,17020,29716.48944,1.029723298,0.027400936,0,0.009206312,0.345144467,0.0167357,18.529,4911,OH
1447,AMERICAN EXPRESS CO,159103,35280,95179.92,1.473007549,0.036988617,0,0.143611371,0.386133511,0.006630925,54,6141,NY
1448,AMERICAN EXPRESS CREDIT CORP,32840,929,,,0.010749086,0,0.00225335,0.894792935,0.010414129,0.008,6153,NY
1449,AFLAC INC,119767,22728,27028.96505,1.036169939,0.024639508,0,0.045271235,0.044102299,0.005677691,9.525,6321,GA
1487,AMERICAN INTERNATIONAL GROUP,515581,63004,77065.67127,0.940986327,0.014699921,0,0.048490926,0.060547227,0.001380966,65,6331,NY
1526,AMERICAN NATIONAL INSURANCE,23552.036,3050.59,3070.39472,0.929863929,0.010495611,0,0.082592859,0.004593106,0.003515832,3.138,6311,TX
1545,AMERICAN REALTY INVESTORS,965.498,99.466,76.59288,0.976039184,-0.007275002,0,0.063765021,0.678907673,0.002116006,0,6513,TX
1559,AMERICAN SHARED HSPTL SERV,67.528,15.417,15.06441,0.854362783,-0.014097856,0,0.149700865,0.528136477,0,0.009,8090,CA
1562,AMERICAN SOFTWARE  -CL A,134.266,102.873,277.56035,2.367727869,0.060536547,0.082582337,0.463549968,0,0.084436864,0.402,7372,GA
1585,AMERICAN VANGUARD CORP,473.171,298.634,338.13038,1.10214992,0.010230974,0.018156227,0.010323963,0.210338334,0.010192932,0.382,2870,CA
1598,AMETEK INC,6420.963,4021.964,12701.46105,2.377287963,0.09102373,0.018579768,0.058809714,0.266942202,0.012545003,15.4,3823,PA
1602,AMGEN INC,69009,20063,121124.116,2.331494675,0.074743874,0.062267241,0.391630077,0.445086873,0.028909273,17.9,2836,CA
1613,AMPCO-PITTSBURGH CORP,536.409,272.858,200.7005,0.991708752,-0.002212864,0.002475723,0.18101486,0.02481502,0.013980004,1.076,3460,PA
1618,AMREP CORP,138.729,49.79,41.16616,0.624052361,-0.025834541,0,0.086859993,0.130398114,0,0.57,7389,PA
1632,ANALOG DEVICES,6859.69,2864.773,15441.9921,2.52314523,0.091741755,0.081590568,0.417871362,0.127234467,0.066216549,9.6,3674,MA
1650,ANDREA ELECTRONICS CORP,4.99,2.787,4.9001449,2.382594168,-0.579759519,0.145891784,0.716432866,0.182164329,0,0.015,3663,NY
1659,ANDERSONS INC,2364.692,4540.071,1539.09382,1.253658751,0.046401815,0,0.04868837,0.159521409,0.005681924,3.345,5150,OH
1678,APACHE CORP,55952,13749,23595.56835,0.788382334,-0.08732485,0,0.013743923,0.200975836,0.006791536,4.95,1311,TX
1686,APOGEE ENTERPRISES INC,612.057,933.936,1331.9425,2.533867761,0.082534797,0.010619926,0.085795931,0.033707645,0.019722019,4.802,3442,MN
1689,APPALACHIAN POWER,11232.382,3053.078,,,0.019178034,0,0.005940948,0.356096685,0.007122265,1.902,4911,OH
1690,APPLE INC,231839,182795,591015.7208,2.980726801,0.17041999,0.026056876,0.10816558,0.152239269,0.048374087,97,3663,CA
1704,APPLIED MATERIALS INC,13174,9072,26971.89,2.447691665,0.0813724,0.108395324,0.240018218,0.147791104,0.036966753,14.95,3559,CA
1706,ACTUANT CORP  -CL A,1856.879,1399.862,2235.79305,1.612378109,0.076177823,0.010770761,0.05870711,0.21002984,0.001430357,5.8,3533,WI
1712,TRECORA RESOURCES,232.074,289.643,352.4325,1.951689978,0.067094978,0,0.036652102,0.34665667,0,0.271,2911,TX
1722,ARCHER-DANIELS-MIDLAND CO,44027,81201,33124,1.269993413,0.051059577,0.001794353,0.147432257,0.129238876,0.014173121,33.9,2070,IL
1742,ARIZONA PUBLIC SERVICE CO,14215.004,3488.946,,,0.029632,0,0.000317622,0.241799791,0.018072454,6.279,4911,AZ
1743,ARCBEST CORP,1127.622,2612.693,1207.66028,1.516466759,0.04095078,0,0.181210548,0.127547174,0.003637744,13.238,4213,AR
1745,ENTERGY ARKANSAS,8807.925,2172.391,,,0.013782134,0,0.025272808,0.308734577,0.001915661,1.16,4911,AR
1773,ARROW ELECTRONICS INC,12442.856,22768.674,5551.36155,1.112304727,0.040026582,0,0.032175491,0.167880027,0,17,5065,CO
1783,ARTS WAY MFG INC,32.846,36.17,21.4196149,1.031224956,0.028466175,0.005815016,0.015587895,0.298422943,0,0.204,3523,IA
1794,ASHLAND GLOBAL HOLDINGS INC,10951,6121,7287,1.328189206,0.006574742,0.010410008,0.127202995,0.299516026,0.009405534,11,2820,KY
1820,ASTRONOVA INC,74.33,88.347,108.40245,1.602831293,0.062720301,0.078057312,0.311206781,0,0.028629087,0.34,3577,RI
1823,ASTRONICS CORP,562.91,661.039,1212.9483,2.712231618,0.099785046,0.13625624,0.037656108,0.325110586,6.57299E-05,2,3640,NY
1837,SOUTHERN CO GAS,14909,5385,6521.95797,1.066534172,0.037695352,0,0.00261587,0.333825206,0.015628144,5.165,4924,GA
1864,REX AMERICAN RESOURCES CORP,456.947,572.23,438.47349,1.100087078,0.189903862,0,0.301341293,0,0,0.106,2860,OH
1878,AUTODESK INC,4913.8,2512.2,12259.135,3.043211974,0.016646994,0.147584354,0.412389597,0.152061541,0,8.823,7370,CA
1891,AUTOMATIC DATA PROCESSING,32051.7,12206.5,38070.256,1.97065853,0.046880509,0.022401308,0.125291326,0.06824287,0.028182592,61,7374,NJ
1913,AVERY DENNISON CORP,4360.2,6330.3,4693.01292,1.831730866,0.057589101,0.023508096,0.05598367,0.26365763,0.028691344,25,2670,CA
1919,AVNET INC,11255.517,27499.654,6125.81319,1.10977907,0.048474362,0,0.082534725,0.184700712,0.007352394,19,5065,AZ
1926,AZZ INC,936.914,816.687,1168.74744,1.743886248,0.06931586,0,0.024043829,0.360596597,0.015900072,3.244,3640,TX
1949,BRT APARTMENTS CORP,734.62,66.414,102.4125,0.962255996,-0.014774986,0,0.075645912,0.707584874,0,0,6798,NY
1968,BADGER METER INC,341.158,364.768,858.26035,2.868724609,0.086991951,0.02783461,0.019510022,0.222556704,0.031161515,1.431,3824,WI
1979,BALCHEM CORP  -CL B,861.271,541.383,2055.57744,2.849915346,0.061334934,0.005584769,0.058386965,0.38605735,0.010741102,0.845,2834,NY
1982,PROTECTIVE INSURANCE CORP,1144.247,284.934,386.15862,0.97088882,0.025970791,0,0.173043932,0.017478744,0.013062739,0.425,6331,IN
1988,BALL CORP,7571,8570,9336.97222,2.092520436,0.062078986,0.003513406,0.025280676,0.418557654,0.009351473,14.5,3411,CO
2005,BANK OF HAWAII CORP,14787.208,597.65,2593.27044,1.104021289,0.011025881,0,0.036218872,0.058900368,0.005387089,2.161,6020,HI
2019,BANK OF NEW YORK MELLON CORP,385303,15210,45366.50996,1.024623504,0.006662289,0,0.372301799,0.084398512,0.002169721,50.3,6020,NY
2049,BARNES GROUP INC,2073.885,1262.006,2017.08201,1.402694465,0.058123281,0.007609872,0.022199399,0.243376079,0.011796218,4.515,3490,CT
2052,BARNWELL INDUSTRIES,54.77,28.017,21.6509766,1.022858802,0.012269491,0,0.314825634,0.202647435,0,0.038,1311,HI
2080,BASSETT FURNITURE INDS,240.746,340.738,205.6628,1.2028312,0.038625772,0,0.206848712,0.009213029,0.021121846,1.568,2511,VA
2086,BAXTER INTERNATIONAL INC,25917,16671,39750.88362,2.212288599,0.075085851,0.054828877,0.112860285,0.359030752,0.043060539,66,2834,IL
2101,APPLIED INDUSTRIAL TECH INC,1334.169,2459.878,2108.49099,1.962149465,0.08456275,0,0.053358308,0.127953805,0.030288517,5.472,5080,OH
2111,BECTON DICKINSON & CO,12447,8446,21839.22852,2.338172131,0.095203664,0.044187354,0.220535069,0.318952358,0.033823411,30.619,3841,NJ
2124,BEL FUSE INC,636.025,487.076,324.30708,1.131584576,0.014299752,0.033803703,0.121281396,0.365748202,0.005010809,8.21,3677,NJ
2136,VERIZON COMMUNICATIONS INC,232708,127079,194369.2159,1.603731784,0.041360847,0,0.047927016,0.486751637,0.038503189,177.3,4812,NY
2154,BEMIS CO INC,3615.1,4343.5,4439.622,1.76988797,0.066139249,0.012198833,0.013028685,0.372659124,0.030261957,16.944,2670,WI
2176,BERKSHIRE HATHAWAY,526186,194706,370024.2546,1.129076514,0.037766113,0,0.134655806,0.15243469,0,315.999,9997,NE
2184,BEST BUY CO INC,15256,40339,12371.6736,1.482805034,0.081672784,0,0.266911379,0.106253277,0.016452543,125,5731,MN
2220,BIO-RAD LABORATORIES INC,3341.278,2175.044,3504.6792,1.348551423,0.026590125,0.065942732,0.208792863,0.13048151,0,7.6,3826,CA
2259,BLACK HILLS CORP,4245.902,1393.57,2369.40288,1.118600684,0.030827136,0,0.005481521,0.380976527,0.016400755,2.021,4911,SD
2269,BLOCK H & R INC,4515.42,3078.658,8324.316,2.437599825,0.107795953,0,0.562248252,0.112079939,0.048713077,98.6,7200,MO
2277,BLUE RIDGE REAL ESTATE CO,42.847,7.956,18.8265,0.756400681,0.008448666,0,0.034984946,0.173501062,0,0,6500,PA
2285,BOEING CO,99198,90762,91860.50544,1.838681278,0.0549003,0.030716345,0.131978467,0.091433295,0.022278675,165.5,3721,IL
2312,ROBERT HALF INTL INC,1647.267,4695.014,7889.12292,5.178107083,0.185718527,0,0.17430022,0.000788579,0.059758376,225,7363,CA
2316,HEXION INC,2672,5137,,,-0.055389222,0.026946108,0.066991018,1.43488024,0,5.2,2860,OH
2342,BOWL AMERICA INC  -CL A,34.364,22.78,79.9955,2.415682109,0.039954604,0,0.066785008,0,0.099871959,0.5,7900,VA
2352,BRADY CORP,1253.665,1225.034,1340.00445,1.48412331,-0.038404199,0.027956432,0.065275811,0.209969968,0.032294911,7.2,3990,WI
2390,BRIDGFORD FOODS CORP,58.176,133.401,75.18225,1.858296377,-0.074669967,0,0.00330033,0.023119499,0,0.487,2013,CA
2393,BRIGGS & STRATTON,1449.706,1859.06,947.66628,1.18985386,0.01955362,0.013588962,0.13428102,0.155203883,0.015725947,5.695,3510,WI
2403,BRISTOL-MYERS SQUIBB CO,33749,15879,98048.83,3.463386471,0.059379537,0.134344721,0.220302824,0.232066135,0.071557676,25,2834,NY
2435,BROWN FORMAN CORP,4193,3134,18831.001,5.011209397,0.163129025,0,0.088242309,0.283329358,0.061054138,4.4,2085,KY
2436,CALERES INC,1216.812,2571.709,1242.11928,1.576267558,0.068087757,0,0.057776386,0.163704007,0.010056607,11,3140,MO
2444,BRUNSWICK CORP,3134.4,3838.7,4751.49444,2.141141667,0.06218096,0.038157223,0.207854773,0.145386677,0.013303982,12.165,3510,IL
2448,MATERION CORP,762.069,1126.89,717.59987,1.339667235,0.054747011,0.01686199,0.017255655,0,0.009135656,2.671,3330,OH
2490,BURLINGTON NORTHERN SANTA FE,78203,23239,,,0.049473805,0,0.030484764,0.246537857,0.044755316,48,4011,TX
2497,MASTEC INC,3563.98,4611.803,1915.94879,1.159600163,0.034336612,0,0.006750599,0.318405266,0,15.55,1623,FL
2504,UNISYS CORP,2348.7,3356.4,1465.156,2.245436199,0.01988334,0.0292928,0.210456848,0.095371908,0.001149572,23.2,7373,PA
2519,BUTLER NATIONAL CORP,41.598,47.062,11.8294,0.766464734,0.00064907,0.049233136,0.148925429,0.25943555,0,0.332,8741,KS
2536,LIVERAMP HOLDINGS INC,1322.424,1020.059,1439.18764,1.478318331,-0.006916844,0.015350599,0.130071747,0.217346328,0,4.32,7374,CA
2547,CIGNA CORP,55896,34914,26682.09316,1.284601638,0.037605553,0,0.049180621,0.092171175,0.000196794,37.2,6324,CT
2556,CSS INDUSTRIES INC,309.473,313.044,281.7216,1.037052021,0.054783454,0.023174881,0.34340314,0,0.018993579,1.45,2670,PA
2558,CNA FINANCIAL CORP,55566,9429,10450.9258,0.957832592,0.015980996,0,0.079653025,0.046053342,0.00973617,6.9,6331,IL
2573,CSP INC,46.307,84.619,28.84343,1.163181161,0.02880774,0.075237005,0.355194679,0,0.033364286,0.176,7373,MA
2574,CSX CORP,33053,12669,35925.34193,1.481509755,0.058300306,0,0.029074517,0.294738753,0.019030043,31.511,4011,FL
2577,CTS CORP,456.926,404.021,595.37936,1.668369408,0.05804441,0.049379987,0.294375895,0.164140364,0.011761204,2.948,3670,IL
2578,TELOS CORP/MD,73.82,127.562,,,-0.166458954,0.029802222,0.000433487,2.092278515,0,0.538,7373,VA
2581,CVD EQUIPMENT CORP,45.556,27.99,88.67118,2.303937571,-0.054306787,0.019294934,0.262687681,0.100206339,0,0.19,3559,NY
2593,CABOT CORP,4084,3647,3268.67414,1.30819641,0.048237023,0.014691479,0.016405485,0.262487757,0.013222331,4.737,2890,MA
2596,CACI INTL INC  -CL A,3359.138,3564.562,1649.935,1.028342093,0.040282954,0,0.019189745,0.381136768,0,15.3,7373,VA
2615,CALAMP CORP,202.617,250.606,693.70875,3.676595498,0.081473914,0.097987829,0.218940168,0.003395569,0,0.41,3663,CA
2620,MUFG AMERICAS HOLDINGS CORP,113678,4393,,,0.007257341,0,0.050590264,0.085117613,0,12.55,6020,NY
2628,CALIFORNIA WATER SERVICE GP,2187.351,597.499,1176.50566,1.152241529,0.025939138,0,0.008954667,0.230852296,0.014201196,1.105,4941,CA
2663,CAMPBELL SOUP CO,8113,8268,13017.67,2.337935412,0.090841859,0.014914335,0.02859608,0.494884753,0.048317515,19.4,2030,NJ
2710,CONSTELLATION BRANDS,15144.5,6028,22317.74352,2.038538316,0.055419459,0,0.007269966,0.485192644,0,7.2,2082,NY
2735,CAPITAL PROPERTIES INC,23.369,7.759,77.55,3.972142582,0.061192178,0,0.125251401,0.626428174,0,0.01,6519,RI
2751,CARDINAL HEALTH INC,26033,91084,23104.72,1.629190643,0.044674068,0,0.113625014,0.152575577,0.016517497,34,5122,OH
2771,CARLISLE COS INC,3758.7,3204,5837.71584,1.921918706,0.066964642,0.008992471,0.194428925,0.199483864,0.016282225,11,2950,AZ
2783,PROGRESS ENERGY INC,42028,10166,,,0.020819454,0,0.000999334,0.370919387,0,0,4911,NC
2787,CARPENTER TECHNOLOGY CORP,3057.5,2173,3360.91525,1.571027065,0.043434178,0.006050695,0.039247751,0.197645135,0.012591987,4.9,3312,PA
2807,CASEYS GENERAL STORES INC,2469.965,7052.216,3195.65148,1.79573981,0.073129781,0,0.019652505,0.345609351,0.012574672,31.766,5412,IA
2811,CASTLE (A M) & CO,587.976,979.837,188.00082,1.049867376,-0.229092684,0,0.014378138,0.52742629,0,1.667,5051,IL
2817,CATERPILLAR INC,84681,55184,55482.46551,1.452550932,0.043634345,0.025212267,0.088284267,0.463917526,0.019626599,114.233,3531,IL
2818,CATO CORP  -CL A,608.278,986.914,1183.7656,2.321053203,0.09946439,0,0.42843897,0,0.055708081,10,5621,NC
2820,CAVCO INDUSTRIES INC,502.582,566.659,664.95654,1.645099785,0.047389282,0,0.226231739,0.13323199,0,3.7,2452,AZ
2829,R F INDUSTRIES LTD,29.029,23.115,37.39968,1.369722691,0.046022943,0,0.507010231,0,0.07930001,0.143,3678,CA
2849,BBVA COMPASS BANCSHARES INC,83152.427,3231.542,,,0.005610852,0,0.040749322,0.102042361,0.001251822,10.454,6020,TX
2852,CENTRAL NATURAL RES INC,10.736,2.067,12.995,1.335227273,0.006799553,0,0.264064829,0.060543964,0,0,6792,MO
2862,AEP TEXAS CENTRAL CO,5866.675,1121.75,,,0.017545032,0,0.035076427,0.515687847,0.000852272,0,4911,OH
2884,CENTURYLINK INC,50147,18031,22501.90286,1.068775856,0.015394739,0,0.002552496,0.412208108,0.024547829,45,4813,LA
2940,MAGELLAN HEALTH INC,2094.157,3760.118,1616.90805,1.216029672,0.037916928,0,0.346492168,0.129656468,0,6.6,8741,AZ
2942,CANTEL MEDICAL CORP,536.145,488.749,1389.55026,2.877289278,0.080696453,0.020168052,0.059276875,0.150145949,0.006940287,1.534,3845,NJ
2960,CHEMED CORP,859.932,1456.282,1784.7663,2.515777178,0.115494016,0,0.016433858,0.17152519,0.016576892,14.19,8082,OH
2968,JPMORGAN CHASE & CO,2573126,102102,232471.4956,1.007955108,0.008457417,0,0.282967488,0.219772759,0.002799319,241.359,6020,NY
2986,CHESAPEAKE UTILITIES CORP,904.469,498.834,724.44008,1.291758015,0.039904076,0,0.005057111,0.282846621,0.017330611,0.753,4923,DE
2990,CELSION CORP,66.695,0.5,46.56272,1.205978259,-0.382247545,0.224439613,0.552665117,0.145543144,0,0.028,2836,NJ
2991,CHEVRON CORP,266026,192308,210859.0248,1.127472596,0.072327517,0.002657635,0.049675596,0.104568726,0.029801598,64.7,2911,CA
2999,CHICAGO RIVET & MACHINE CO,28.968,37.135,29.71416,1.098942281,0.0673847,0,0.21713615,0,0.03735156,0.236,3452,IL
3007,BRINKER INTL INC,1490.604,2905.452,3140.79535,3.064734396,0.103339988,0,0.038699078,0.577072113,0.043693697,55.586,5812,TX
3026,CHURCH & DWIGHT INC,4381.3,3297.6,10509.47112,2.808474909,0.094469678,0.013648917,0.096546687,0.274165202,0.038230662,4.145,2840,NJ
3028,CHURCHILL DOWNS INC,2360.274,817.434,1665.0816,1.345535561,0.019640516,0,0.039826308,0.326614198,0.007348723,4.825,7990,KY
3036,CINCINNATI BELL INC,1819.7,1278.2,667.65424,1.808597153,0.04154531,0,0.031818432,0.98049129,0.005715228,3.1,4813,OH
3039,DUKE ENERGY OHIO INC,9999,1913,,,0.00680068,0,0.0020002,0.225722572,0.010001,0,4931,OH
3062,CINTAS CORP,4192.46,4476.886,9616.51127,2.778697536,0.097335932,0,0.103317384,0.310080478,0.048155737,32,2320,OH
3105,IHEARTMEDIA INC,14040.242,6303.533,651.23205,1.63935451,-0.056534709,0,0.032551006,1.447697127,0,19.2,4832,TX
3107,CLEVELAND-CLIFFS INC,3164,4623.7,1094.18358,2.013111119,-2.283249052,0,0.091940582,0.996017699,0.045417193,5.386,1000,OH
3121,CLOROX CO/DE,4258,5591,11771.9544,3.704310568,0.131986848,0.029356505,0.079379991,0.543212776,0.087834664,8.2,2842,CA
3138,COCA COLA CONSOLIDATED INC,1433.076,1746.369,816.21416,1.343739732,0.021878812,0,0.006346488,0.351557768,0.006465812,7.3,2086,NC
3144,COCA-COLA CO,92023,45998,184332.52,2.612385165,0.077132891,0,0.235538941,0.453636591,0.05813764,129.2,2086,GA
3153,COEUR MINING INC,1546.231,635.742,528.29224,0.833003762,-0.747549364,0,0.17517499,0.309395556,0,1.868,1044,IL
3157,COHERENT INC,999.375,794.639,1531.1815,1.705462414,0.059142964,0.07911945,0.318474046,0,0,2.519,3826,CA
3158,COHU INC,348.818,333.323,305.7348,1.136477475,0.016727921,0.116395943,0.206526039,0,0.017493363,1.6,3825,CA
3169,ONCOMED PHARMACEUTICALS,247.842,39.559,649.49248,3.312463101,-0.20178178,0.141771774,0.93594306,0,0,0.108,2836,CA
3170,COLGATE-PALMOLIVE CO,13459,17277,62735.40328,5.556757804,0.161973401,0.020581024,0.095772346,0.45679471,0.096589643,37.7,2844,NY
3184,CCOM GROUP INC,29.384,81.049,5.9516655,0.957278298,0.025898448,0,0.008133678,0.472263817,0,0,5070,NJ
3198,COLORADO INTERSTATE GAS CO,1472,404,,,0.120244565,0,0,0.440217391,0.141304348,0,4923,TX
3203,CHASE CORP,245.545,224.006,323.1565,1.729090391,0.108456698,0.010584618,0.216750494,0.239784968,0.016669042,0.667,2891,MA
3218,COMARCO INC,2.282,0,2.05576,1.61295355,2.646801052,0,0.937773883,0,0,0.001,9995,CA
3226,COMCAST CORP,159339,68775,147407.2967,1.387458793,0.052592272,0,0.028316985,0.302713083,0.014560152,139,4841,PA
3231,COMERICA INC,69190,2618,8385.24996,1.014210868,0.008570603,0,0.087743894,0.040396011,0.002066773,9.115,6020,TX
3238,COMMERCE BANCSHARES INC,23994.28,1096.294,4195.21936,1.083762062,0.010909017,0,0.045874142,0.081960201,0.003679669,4.866,6020,MO
3243,CITIGROUP INC,1842530,90572,163624.203,0.98022187,0.003970085,0,0.179408205,0.271310101,0.000343549,241,6199,NY
3246,COMMERCIAL METALS,3688.52,7039.959,2036.08512,1.171343824,0.027676683,0,0.119024704,0.386710117,0.015298277,9.293,3312,TX
3275,COMMUNICATIONS SYSTEMS INC,100.286,119.071,90.8775,1.037567557,0.019564047,0.078126558,0.182876972,0.00626209,0.05566081,0.578,3661,MN
3278,AVIS BUDGET GROUP INC,16969,8485,7011.47898,1.240407742,0.014438093,0,0.036772939,0.679827922,0,30,7510,NJ
3336,DXC TECHNOLOGY COMPANY,10201,12173,9059.10144,1.584952597,0.002058622,0,0.205666111,0.261641016,0.012841878,70,7370,VA
3342,COMPUTER TASK GROUP INC,170.796,393.268,144.55104,1.196638329,0.060598609,0,0.239244479,0,0.021241715,3.8,7370,NY
3358,COMTECH TELECOMMUN,473.852,347.15,546.1742,1.307305235,0.053077754,0.071980281,0.326051172,0,0.040082135,1.069,3663,NY
3362,CONAGRA BRANDS INC,17542.2,15832.4,16532.99505,1.598955379,-0.035297739,0.005153288,0.010437687,0.450616228,0.0243128,32.9,2000,IL
3369,RAVE RESTAURANT GROUP INC,15.968,42.224,56.82383,3.917198773,-0.091057114,0,0.1751002,0.048033567,0,0.304,6794,TX
3382,SHUTTERSTOCK INC,383.777,327.971,2460.1673,6.755254484,0.057556862,0.099800144,0.751683921,0,0,0.512,7370,NY
3392,CONNECTICUT LIGHT & POWER CO,9360.108,2692.582,,,0.030742594,0,0.000251706,0.317875713,0.018884291,1.548,4911,CT
3394,CONNECTICUT WATER SVC INC,671.189,94.853,403.72625,1.208010337,0.031763035,0,0.003687486,0.269743694,0.016725542,0.265,4941,CT
3410,TRANSCONTINENTAL RLTY INVS,930.405,88.024,89.7954,0.875872765,0.003987511,0,0.064959883,0.650912237,0.001080175,0,6513,TX
3413,CONSOLIDATED EDISON INC,44308,12919,19332.74476,0.947656061,0.024645662,0,0.015775932,0.293197617,0.016678704,14.601,4931,NY
3424,BIGLARI HOLDINGS INC,1174.732,793.811,638.06928,0.917079198,0.024519635,0,0.124124481,0.276303872,0,23.13,5812,TX
3429,CONSOLIDATED TOMOKA LAND CO,275.923,35.52,328.2156,1.600792975,0.02313689,0,0.022908565,0.376699297,0.001464177,0.014,6510,FL
3439,CMS ENERGY CORP,19185,7179,9562.644,1.21754725,0.024863174,0,0.012718269,0.455512119,0.015272348,7.747,4931,MI
3465,CONTINENTAL MATERIALS CORP,71.801,131.876,25.3275,0.700637874,-0.076029582,0,0.009400983,0.080778819,0,0.568,3585,IL
3469,CONTINENTAL RESOURCES INC,15145.07,4801.618,14270.15016,1.472817832,0.064531957,0,0.001609831,0.396030854,0,1.188,1311,OK
